titulo;label;n_token
U.S., China to meet in Washington on July 19 for economic talks;0;18
Steve Mnuchin: ‘The Unemployment Rate Is Not Real’ - Breitbart;0;20
 Trump BLOCKS Stephen King After Writer Delivers This Particularly Brutal Mockery On Twitter;1;16
With Another Deadline Looming, Whispers Of Iran Nuclear Deal Emerge;0;13
House Speaker Ryan says U.S. government shutdown unnecessary;0;14
Austria’s Far Right Presents the E.U. With a New Test at the Polls - The New York Times;0;25
MTV Releases Racist ‘Hey Fellow White Guy’s Video’…Social Media Goes Crazy! [Video];1;23
Melania Trump Wins Libel Suit for Calling Her ’High-End Escort’;0;17
Delingpole: More Climate Fake News From The BBC;0;13
Jewish Press Releases Audio Tape Exposing Hillary Clinton Plotting to Rig Election;1;14
U.S. army probes fake evacuation orders sent to U.S. military, families in South Korea;0;24
Pedals the Walking Bear Said to Be Killed by a Hunter in New Jersey - The New York Times;0;22
Baltimore Braces For Chaos: Mistrial Declared In Freddie Gray Case;1;15
Sheldan Nidle Update – October 25, 2016;1;13
As appellate judge, Garland viewed as friend of government regulators;0;13
 Michigan Government To EPA: ‘You Can’t Tell Us What To Do’;1;18
The Best and the Worst From the Rio Games - The New York Times;0;16
Venezuela: Teen Killed in ’Mother of All Protests’ as Maduro Seeks to Arm One Million Chavistas - Breitbart;0;29
UNREAL! THIS ONE PHOTO SUMS UP The Anti-Trump Liberal Wackos;1;18
Trump loses his big bet on Alabama U.S. Senate race;0;15
Court Leader or Leading Dissenter? Chief Justice’s Fate Tied to Election - The New York Times;0;22
VP Mike Pence Promises Obamacare Repeal to Begin in a ’Few Days’ - Breitbart;0;23
Democratic Leaders Nervous About Overreach as Members Push for Trump Impeachment;0;17
 Google Maps HILARIOUSLY Trolls Trump – He’ll Be FURIOUS (IMAGES);1;17
Britain's Boris Johnson 'could have been clearer' on jailed aid worker in Iran;0;19
FEAR OF TRUMP: BUSH, OBAMA, CLINTON ALL BUYING PROPERTY IN NON-EXTRADITION NATIONS – WILL TRUMP PROSECUTE THEM;1;26
Associated Press reporter admits faking news stories for Hillary Clinton.;1;14
 WATCH: Rachel Maddow Has PERFECT Argument To Prove Trump Is A Failure Despite His Bragging;1;21
N.C.A.A. Tournament Reality: The Haves Get In, the Have-Nots Get Left Out - The New York Times;0;32
Suicide Bomb Attack Targets Baghdad Market;0;8
Australia, citing concerns over China, cracks down on foreign political influence;0;15
PressTV-US admits Afghan strike likely caused civilian deaths;1;13
PRICELESS! DON’T EVEN THINK About Calling This Storm Victim 80: “I’m comin’ back baby” [Video];1;30
Clinton aide Abedin leaves husband Weiner after sexting report;0;14
TRUMP TWEETS CRITICISM OF CHINA: Reminds The World “America-First” Is A Policy…Not A Suggestion;1;25
 Experts Think Gas Prices About To Go Lower Than EVER – You Won’t Believe How Low (IMAGES);1;23
Syrian War Report – November 3, 2016: Egyptian Officers Arrive in Syria;1;16
Trump: Presidents Obama, Clinton Were ’Outplayed’ by North Korea - Breitbart;0;22
Trump's post-Orlando message falls flat with Republican establishment;0;14
Exclusive: Trump EPA transition chief laments slow progress in killing green rules;0;16
BEWARE: Communists, Socialists and Progressives in the U.S. Congress!;1;19
 ‘Might Have Been Faked By Liberals’: Top Adviser Defends Trump’s Silence On Mosque Bombing;1;23
 Trump FURIOUS After Federal Judge Stops His Bigoted Muslim Ban In Its Tracks (VIDEO);1;19
Mnuchin says tax overhaul still in sight for 2017;0;13
Homeless Man Allegedly Broke into 4 Houses of Worship to ’Get Back at God’ - Breitbart;0;23
Little prospect of Syria peace progress seen in Geneva talks;0;12
House GOP leaders desperate to avoid shutdown;0;11
HILLARY’S CHICKENS ARE COMIN’ HOME TO ROOST: News Reports Suggest Hillary May Have Used A Second Private Server;1;26
ESPN’s Mike Golic: Fans Shouting Racial Slurs at Adam Jones Should Be Publicly Outed - Breitbart;0;27
Russia and North Korea to discuss nuclear crisis in Moscow;0;12
TRUMP SPOKESPERSON THREATENS Trump Rally On Martha’s Vineyard During Obama’s Vacation;1;17
Facebook, Google, Twitter asked to testify on Russian meddling;0;14
Trump says he believes Pakistan starting to respect U.S. again;0;15
Sweden stops some new aid for Cambodia in protest over crackdown;0;14
Congress ends effort to kill limits on debit card fees;0;13
Perdue Aims to Make Chickens Happier and More Comfortable - The New York Times;0;17
Supreme Court Blocks Order Allowing Transgender Student Restroom Choice - The New York Times;0;16
Trump hotels reach deal with unions, ending labor board cases;0;13
Pope Francis Says Church Should Apologize to Gays - The New York Times;0;16
WATCH: BLACK SPORTS HOST BLASTS White ESPN Sports Host For Asking White Athletes To Take A Knee During National Anthem;1;23
Chad rejects U.S. bribery allegations against president;0;12
Boehner moves to push off immigration fight to 2015;0;13
OBAMA FIGHTS TO KEEP RADICAL AGENDA ALIVE: Asks Crooked AG Loretta Lynch To Find Way To Challenge Supreme Court Decision That Blocked His Executive Order Amnesty Scheme;1;30
No. 2 Senate Republican says Senate to probe Trump's wiretap claims;0;18
Iran's Rouhani: Tehran-Moscow cooperation needed to restore peace in Syria;0;19
Trump administration crafting big new arms sales to Taiwan: sources;0;14
Why Did They Vote For Trump?;1;9
Boehner 'baffled' by Israeli spying report;0;12
Big Layoffs Coming to Financially Struggling ESPN - Breitbart;0;15
House tax chairman confident on reform, others less so;0;12
Cruz allies prevail in North Dakota delegate race;0;12
Erica Garner SLAMS Hillary- ‘Don’t Use My Dead Dad To Push Your Gun Control Agenda!’;1;23
HUCKABEE NAILS IT: Says Obama’s Radical List Of Invited Guests To Meet Pope Proves His Fake Christianity;1;25
China's U.N. envoy says North Korea, U.S. rhetoric 'too dangerous';0;23
Life: Animal Rights Win: The San Diego Zoo Has Taped Telescopes To All Of Their Animals’ Heads So That They Can Look At The Planets;1;30
Poll: Las Vegas debate doesn't scramble GOP field;0;14
Russia stops shipping Soyuz space rockets to France;1;10
 Hooded Men Spray-Paint Racial Slurs, Pro-Trump Graffiti At UCSD Campus (VIDEO);1;22
"Britain has 10-day ""absolute deadline"" to deliver on key Brexit issues: Tusk";0;22
CLASSIC! TRUMP Hints At Sheriff Joe Pardon: “I’ll make a prediction. I think he’s going to be just fine.” [Video];1;34
White House defends Trump criticism of Nordstrom for dropping Ivanka clothing line;0;17
Franco-German fighter jet project likely to be opened to other countries;0;15
Colin Kaepernick hosts ‘Know Your Rights’ camp for Oakland-area youth;1;19
Young Fellas Made Of Nothing These Days, Finds Scientific Study;1;14
Possible suicide vest found in Paris suburb;0;9
Key conservative lawmaker says making headway on healthcare bill;0;13
Obama Votes Against US at UN;1;8
Last flight departs as Iraq imposes ban for Kurdish independence vote;0;15
U.S. lawmakers will not tackle healthcare this year, Ryan says: Reuters interview;0;20
Where Even Nightmares Are Classified: Psychiatric Care at Guantánamo - The New York Times;0;17
The 10 most bald-faced lies from the final Republican debate of 2015;0;16
Russian defense minister, Syria's Assad meet in Damascus: agencies;0;16
Taking Back Presidential Power;1;6
Megyn [sic] Kelly: Gowdy Triumphantly Comments on the Hillary Case Reopening;1;22
Report: Freddie Gray may have intentionally tried to injure self in police van;0;17
Re: Why Donald Trump Must Shut Down The Federal Reserve And Start Issuing Debt-Free Money;1;20
Lawyer for Berkeley Republicans in Coulter Case Slams ACLU for Absence - Breitbart;0;19
New PAN report warns of global contamination of health damaging glyphosate;1;17
Trump bars door to refugees, visitors from seven mainly Muslim nations;0;14
Girding Malaysian ruling party for election, Najib rallies Muslims over Jerusalem;0;18
James Comey’s Legacy: Blaming Russia Rather Than Saudi Arabia And Israel;1;17
Saudi's Kingdom Holding says has support from government after chairman detained;0;15
Hariri returns to Lebanon for first time since resigning as PM;0;14
Both Trump And Clinton Went To Jeffrey Epstein’s Sex Slave Island.;1;16
Trump considering Senator Heitkamp of North Dakota for Cabinet: source;0;16
[VIDEO] OUR DIVIDER IN CHIEF, BARACK OBAMA, INVOKES “N” WORD During Interview;1;23
EXTRAORDINARY DETAILS EMERGE About How Senator John McCain Got “Dirty Dossier” On President Trump From Ex-Spy…Where’s The Media Outrage?;1;31
Syrian activist and daughter murdered in Istanbul home: Turkish police;0;13
U.S. sentencing reform backers cite success at state level;0;15
The Major Potential Impact of a Corporate Tax Overhaul - The New York Times;0;16
NZ First leader welcomes politically driven drop in NZ$;0;13
Want To Know Where Your Meat Comes From? Those Days Are Over;1;15
British woman wins $5,200 for Sri Lankan deportation over Buddha tattoo;0;16
Kenya police shoot dead two during opposition protest: commissioner;0;12
EU says needs concrete evidence from Turkey to deem Gulen network as terrorist;0;17
Turkey issues warning over travel to U.S. after Trump protests;0;15
With Congress Deadlocked, White House Diverts Funds to Fight Zika - The New York Times;0;22
#CHARLOTTESVILLE While Media and Politicians Stir the Pot…Are We Missing the Elephant in the Room?;1;22
Obsessing over Europe’s Refugee Crisis While Ignoring Africa’s Is White Privilege at Work;1;21
 Millionaire Sean Hannity Tried To Fake Being Middle Class, Gets DESTROYED On Twitter (TWEETS);1;22
 Mike Pence Hilariously Claims There’s No Basis For Racism Claims Against Trump (VIDEO);1;21
FIRE THIS WOMAN! RANTING NYU PROFESSOR GOES APESH*T On Cops At Protest: “F*ck You NYPD!” [Video];1;32
 The Trump Camp May Have Just Thrown Out Every Crucial Swing State;1;14
WATCH SEAN HANNITY Destroy Obama’s Economic Policy Legacy: “The Obama Nightmare is finally coming to an end!” [Video];1;29
Trump naysayers push #NeverTrump on Twitter before Super Tuesday;0;16
Oscars ’Tourist’ Revealed to Be Registered Sex Offender;0;13
U.S. Senate majority leader: Looking at ways to help Puerto Rico;0;17
Canadian groups seek to overturn Quebec ban on Muslim veil;0;13
World War 3 PUTIN is the TRAITOR of the;1;11
Divided Srebrenica awaits Mladic verdict 22 years after massacre;0;16
KID ROCK BAND MEMBER PREDICTS: ‘That F*cker Could Win’ Senate Race;1;20
Illinois attorney general appeals bar on Election Day voter registration;0;12
‘Hamilton’ and Heartache: Living the Unimaginable - The New York Times;0;20
Sessions Comes Out Swinging, Dismisses Russian Meeting Controversy - Breitbart;0;17
Trump wades in on flap over L.L. Bean boycott threats;0;16
Arab League says U.S. should not take measures that alter Jerusalem status: MENA;0;20
Top Trump Aide Steve Bannon: Virulent Anti-Semite or Ardent Zionist?;1;20
Trump Budget Kills Nixon-Era Affirmative Action Corporate Welfare Agency - Breitbart;0;18
 Watch Elizabeth Warren DESTROY Donald Trump in Epic Tweetstorm (TWEETS);1;19
17 biblical rules for marriage the Kim Davis set chooses to ignore;0;14
Dem Sen Kaine on Syria Strikes: ’There Is No Legal Justification for This’ - Breitbart;0;24
Obama: Battle against ISIS Could Take Decades;0;10
WOW! LOOSE CANNON HILLARY Leaked Major Nuclear Secret To World During Final Debate [VIDEO];1;19
Liberals poised to give Obama a win on Iran;0;11
 Adbusters Magazine Does Something BRILLIANT With Its Barcode On Trump Cover (IMAGE);1;19
Leftists Claim Dress Code Promotes “Rape Culture”;1;12
Turkish passenger plane makes unscheduled stop in Ukraine;0;13
Supreme Court Turns Away Challenge to Connecticut Ban on Semiautomatic Weapons - The New York Times;0;21
Senators want to change massive new Israel aid package;0;11
Three Arrested for Starting Massive Fire on Atlanta Interstate Bridge;0;12
Netherlands to hold referendum on new surveillance law;0;10
Factbox: Trump on Twitter (Dec 1) - Kate Steinle, Tax cuts, Rex Tillerson;0;23
Donald Trump Faces Obstacles to Resuming Waterboarding - The New York Times;0;16
Former Senator Webb rules out independent presidential bid;0;10
 Ted Cruz Bashes Michelle Obama In Lame Attempt To Be Student Body President (VIDEO);1;19
 Geraldo Rivera: GOP Will Only Nominate A ‘Crazy Person’ Who ‘Can Never Be Elected’ (VIDEO);1;26
AMAZING! JUDGE LYNN TOLER ON THE DEFINITION OF MANHOOD;1;14
Obama tells Trump to 'stop whining' over rigged election claims;0;16
Vatican says investigating alleged abuser who became priest;0;11
‘Shadow Brokers’ Threaten to Release More Stolen NSA Cyber Weapons - Breitbart;0;20
Comment on AG Lynch told FBI Director Comey NOT to go public with the new Clinton email investigation by Ann Tenna;1;25
Fueled by Small Donations, Donald Trump Makes Up Major Financial Ground - The New York Times;0;19
Republican ex-defense secretary Cohen backs Hillary Clinton;0;11
Canada's Trudeau broke ethics rules with visit to Aga Khan island;0;17
If Clinton goes down, Loretta Lynch will go down with her;1;14
UNREAL: NRCC Ad Brags That GOP Congressman Opposed…;1;16
Pennsylvania governor to veto latest budget as stalemate drags on;0;14
South Africa's Dlamini-Zuma says business endorsement not a priority in ANC race;0;22
Brexit Lost: Scuppered By May and High Court;1;15
MSNBC, DNC reach deal to host Democratic debate in New Hampshire;0;16
WATCH SHOCKING DISPLAY of Muslim Intimidation in Front of Trump Tower [Video];1;16
 Alec Baldwin Makes Bombshell Announcement That’s Going To ENRAGE Trump;1;16
 Germany’s President Joins Chancellor Merkel In Sharp Criticism Of ‘Irritating’ Trump;1;18
MIT Technology Review: Google’s A.I. ’Hate Speech’ Detector ’Erratic’ - Breitbart;0;26
Re: Don’t CLICK that, stupid! Is this email from March 2016 where #PodestaEmails21 and others started?;1;30
ERIC BOLLING Accuser Is Serial Sexual Harassment Accuser, P*ssy-Hat Wearing, Trump-Hating, Left-Wing Activist Professor;1;31
GERMAN COURT RULES “Sharia Police” Patrolling City Streets Did NOT Break Law…INSANE Video Shows Muslim Men Patrolling Streets;1;25
France's National Front on verge of split after election setback;0;15
ARNOLD SCHWARZENEGGER Sends A Message To Liberals Whining About Trump [Video];1;19
NAMES REVEALED Of TOP DONOR And Popular ACTRESS Behind Disgusting Leftist Latino TV Ad Depicting White Man Running Down Minority Kids With Truck;1;25
AT&T sold access to customer data to law enforcement – report;1;15
Britain, EU agree on divorce bill, Northern Ireland, citizens' rights: joint report;0;19
Kurdish leader Barzani condemns Iraqi parliament vote to remove Kirkuk governor: Kurdish media;0;20
BROOKLYN MOTHER OF THREE Doesn’t Work Because She’s “Proudly Raping The Government”…No, She’s Raping The Taxpayers!;1;32
CLASS ACT SARAH SANDERS Reveals What She Does Before Every WH Briefing[Video];1;18
Will a No-Fly Zone Help the People of Aleppo?;1;14
Erdogan Checks in with Obama Before Bombing Syria;1;12
WaPo Drums Up ’Labor Shortage’ in Push for More Foreign Workers;0;16
FANTASTIC! TRUMP'S 7 POINT PLAN To Reform Healthcare Begins With A Bombshell! » 100percentfedUp.com;1;27
Top Democrats in Congress say won't meet with Trump as planned;0;15
Hurricane Irma kills at least six on French island of Saint-Martin;0;16
China's Xi says war cannot be allowed on Korean peninsula;0;14
U.S. attorney general to accept FBI findings in Clinton email probe;0;16
Gov. Jerry Brown Endorses Hillary Clinton Ahead of California Primary - The New York Times;0;20
Tillerson's email alias was prompted by business needs, Exxon says;0;17
VIRAL VIDEO: Bernie Sanders Socialist Gets Shut Down By Judge Judy;1;14
Tourists, authorities feel the heat as Bali volcano keeps airport closed;0;14
Ukraine Withdraws Forces After Fight Over Strategic City;0;11
THREE SHOCKING REASONS WHY Hillary Clinton Is Considered An Abortion EXTREMIST;1;15
Senate to vote on healthcare bill next week: Republican leader;0;13
A divided Republican party: Donald or Ivanka for president?;0;14
Hillary Clinton wins Missouri Democratic primary: Associated Press;0;11
What 'Draw Muhammad' shootings say about Islamic State reach (+video);0;18
Trump's Russian imbroglio prompts Republican rethink on surveillance law;0;18
Trump’s Approval Ratings Jump to 50 Percent - Breitbart;0;16
Kim Jong-nam Was Killed by VX Nerve Agent, Malaysians Say - The New York Times;0;22
Muslims DEMAND Locals Don’t Walk Dogs In Public – Violation Of Sharia And “DISRESPECTS” Them;1;26
 Maddow: It’s ‘A Farce’ To Pretend The GOP Doesn’t Agree With Trump On Abortion (VIDEO);1;30
Two People Connected To Flint Water Investigation Found Dead;1;11
Lawsuit Accuses Michigan Doctor of Sexually Abusing Young Gymnasts - The New York Times;0;19
BREAKING: GOP Hands Speaker Gavel To Open Borders Republican Paul Ryan;1;16
Senate Democrats united on debt restructuring for Puerto Rico: letter;0;13
Trump, France's Macron to discuss Syria and terrorism during Paris visit;0;17
Blocking Internet oversight transition a 'gift to Russia': Obama administration;0;15
 FL Man Hurls Live Alligator Through Wendy’s Drive-Thru Window (VIDEO);1;20
Trump campaign asks Capitol Hill to back him in Khan controversy;0;13
Insurance Prices for Many Obamacare Customers Will Rise By Double Digits in 2017;1;16
NJ GOV CHRIS CHRISTIE Gets in Cubs Fan’s Face at Baseball Game…Not Pretty [Video];1;22
Britain and EU fail to agree Brexit deal on Monday: BBC;0;16
Texas Leads 16-State Coalition in Support of Travel Ban;0;13
 Marco Rubio Really Wants To Win Reelection, But Won’t Rule Out Puling A Sarah Palin (VIDEO);1;26
HUD OFFICIAL Spends $366,000 in Fed Funds on Booze, Makeup, Clothes and Homes…You Won’t Believe Her Punishment!;1;32
Devin Nunes to Step Aside From House Investigation on Russia - The New York Times;0;18
BRICS name Pakistan-based militant groups as regional concern;0;13
IRANIANS CELEBRATE NUCLEAR DEAL WITH OBAMA BY CHANTING “Death To America”;1;16
Kuwait replaces oil and finance ministers in cabinet reshuffle;0;13
Crushed Obama Aides React to Trump’s Decision to Withdraw from Paris Agreement;0;17
Fed lowers economic outlook but stays mum on rate plans;0;12
 ‘Pharma Bro’ Just Yelled This At Hillary To Remind Us He’s Still A MASSIVE Douche (VIDEO);1;27
White House disputes multiple calls between Trump adviser, Russian envoy;0;13
NOT KIDDING: [VIDEO] BOEHNER SELLS AMERICA DOWN THE RIVER WITH STRAIGHT FACE…Cries During Interview About Golf;1;25
Colin Powell Jokes About Why He’s Still A Republican…Not Funny!;1;17
Tech worker visas face uncertain future under Trump, Sessions;0;12
UK PM May to travel to Brussels for meetings with EU's Barnier and Juncker;0;20
 Republican Senators Don’t Want Ted Cruz Anywhere Near Their Re-Election Campaigns;1;17
SocGen says no wrongdoing in handling of National Front accounts;0;15
Merkel hangs on to power but bleeds support to surging far right;0;17
Nation Puts 2016 Election Into Perspective By Reminding Itself Some Species Of Sea Turtles Get Eaten By Birds Just Seconds After They Hatch - The Onion - America's Finest News Source;1;35
Donald Trump, After Difficult Stretch, Shows a Softer Side - The New York Times;0;18
Possible Thales, Leonardo role in Franco-Italian ship talks: sources;0;16
Wounded Vet’s Mom Forced To Sell Rare Handwritten Letter From Obama Promising To Care For Son…To Pay For His Medical Costs [VIDEO];1;31
Trump says he would like to speed up NAFTA talks;0;14
UC Berkeley Administration Won’t Budge On Security Fees For MILO Event - Breitbart;0;20
French foreign minister visits Libya in new push for U.N. talks;0;16
Anti-Trump Marchers ‘Mostly White’ Women Who Need ‘Therapy’ After Clinton Loss;0;20
 Actor Martin Sheen Tells Senate GOP To Do Their Jobs When Obama Picks SCOTUS Nominee (AUDIO);1;23
Obama administration asks Supreme Court to rehear immigration case;0;12
War is eminent;1;5
South Africa's Zuma congratulates Zimbabwe's Mnangagwa on swearing-in;0;22
U.S. tax plan threatens Wall Street's Bermuda idyll;0;17
 While Scott Baio’s Battle With Erin Moran’s Family Continues, His Wife Defends His ‘Size’;1;25
Cuba delays historic handover from Castro to new president;0;12
6 SYRIAN, 1 LIBYAN MIGRANT ARRESTED After Setting Sleeping Homeless Man On Fire;1;16
Trump Supporter BUSTED Committing Voter Fraud: Trump Says Polls Are ‘Rigged’, So I Had To;1;21
Pakistan orders TV channels to go off air during crackdown on Islamist protest;0;16
How High Blood Pressure May Hurt Children’s Brains - The New York Times;0;17
Democratic state attorneys general decry student loan rework by Republicans;0;14
Why Polls Fail;1;5
U.S. Stuck With Nobody Left to Sanction in Russia Over Syria;1;17
Robert Reich: ’The Democratic Party Has Not Been in This Bad Shape Since the 1920’s’ - Breitbart;0;27
Trump Claims, With No Evidence, That ‘Millions of People’ Voted Illegally - The New York Times;0;22
Yahoo eyes billboard that can spy on drivers inside their cars;1;13
‘The Only Way We Can Fight Back Is to Excel’ - The New York Times;0;19
Puerto Rico governor hopes for 'open dialogue' with Mnuchin;0;15
LOL! ANTI-TRUMP ACTORS George Clooney and Matt Damon’s “Suburbicon” Movie TANKS: “One of Paramount Pictures’ worst performing wide-releases ever”;1;38
Catalan pro-independence parties working on independence declaration: El Mundo;0;14
 Trump Doesn’t Want You To Know About This Study That PROVES Refugees Contribute To Our Economy;1;20
 Exclusive: Interview With Progressive Superstar Running For Congress, Zephyr Teachout;1;17
 Trump HUMILIATED As China Roasts Him For Being An ‘Ignorant Child’ (DETAILS);1;19
Texas A&M Student Crashes Into Cop While Trying to Send Her Boyfriend Topless Photo;1;19
Ukraine, François Fillon, Quebec: Your Wednesday Briefing - The New York Times;0;18
Republican candidate Kasich's 'kitchen' comment draws scorn;0;16
GREAT SPEECH! PRESIDENT TRUMP Doubles Down On Border Protection: “We are going to restore the RULE OF LAW in the United States” [Video];1;31
The Sad Truth About Melania Trump’s Plagiarism Snafu;0;18
 Trump Thanks Fox News For Kissing His A** And Gets Appropriately HAMMERED For It;1;18
 GOP Candidate Completely Screws Up And Admits What Republicans Are Really About (VIDEO);1;19
Robert Osborne, Turner Classic Movies Host, Dies at 84 - The New York Times;0;18
An Open Letter to the Woman Who Told My Family to Go Back to China - The New York Times;0;22
Trump is Being Killed in the Press for Saying System is 'Rigged.' Here's 90 Seconds of Democrats Saying It;1;26
 Trump-Supporting KKK Members Charged With Attempted Murder After Vicious Assault;1;15
Trump says has not been asked for interview with special counsel;0;13
Russia says Google down-ranking Sputnik, RT would be censorship;0;16
Libyan coast guard rescues more than 250 migrants trying to reach Italy;0;14
Hillary’s concession email in full;1;9
Most Germans want three-way coalition of conservatives, FDP and Greens: poll;0;18
Project Veritas Video 4 - 20K Bribery to DNC, Chaos at Trump Rallies;1;20
Russia's Lavrov tells Tillerson U.S. 'aggressive rhetoric' on Korea unacceptable;0;22
Fire in hotel on Georgia's Black Sea coast kills 11;0;14
Nigeria's Buhari to visit heartland of Biafra secessionists;0;16
 Conservative ‘Christian’ Preacher Wants Government To Execute Adulterers;1;14
Deadly suicide blast in Istanbul tourist area is linked to the Islamic State;0;15
Trump's remarks on gun rights, Clinton unleash torrent of criticism;0;18
REPORTER SHOCKS HILLARY BY SHOWING UP: Watch The Change From Unsteady To Alert [Video];1;21
MAN ROBS TAXPAYERS OF $1.4 Million In Food Stamp Scam…Using Fish!;1;21
 WATCH: Giuliani’s BIG LIE At Trump Rally Is Jaw-Dropping;1;18
House Speaker Paul Ryan to rule out 2016 presidential candidacy;0;12
2016 Race Collides With Baltimore Unrest;0;10
MEGYN KELLY CONTINUES HER OBSESSION With Trump…ANGRY He Won’t Apologize To Hillary’s “Khan Man” [VIDEO];1;28
'The Wire' actor Pierce arrested after scuffle over Democratic politics;0;16
PARKS and REC and JIMMY FALLON Writer Thinks Trump Supporters Should Drink Bleach…Hopes Trump Gets Cancer;1;22
Romanian defense minister quits over communications mixup;0;11
Trump says pope will wish he was president if Vatican is attacked by Islamic State;0;17
WHOA! HISPANIC TRUMP SUPPORTERS Scream At Anti-Trump Thugs: “GO BACK TO MEXICO!” [VIDEO];1;24
Today’s Upside Move In Gold & Silver Is Nothing Compared To What Is Coming;1;18
GOP still party of stupid: Scott Walker, Fox News and why 2016 hopefuls must appease wingnut base on evolution;0;27
 California Assembly Passes MAJOR Legislation To Keep Trump Off The Ballot In 2020;1;15
Polarization Vortex: Obama, Bush Approval Shows Widest Partisan Gap;0;15
‘In-Betweeners’ Are Part of a Rich Recruiting Pool for Jihadists - The New York Times;0;23
 WATCH: Donald Trump Promises He Will Declare War On ISIS, But There’s One GIANT Problem;1;21
Bishops Warn of Anti-Christian Intolerance after Government Advisor Criticises Catholic Schools;0;18
Obama: Trump doesn't know much about foreign policy, world;0;15
